product_id,product_name,category,units_sold,total_revenue,total_returns,return_rate_pct
82,Revolutionize Cross-Media Mindshare,Electronics,115,474530.86,11,9.57
139,Whiteboard World-Class Web-Readiness,Electronics,103,405047.63,9,8.74
116,Whiteboard Sticky Functionalities,Electronics,89,388545.62,3,3.37
97,Leverage Cutting-Edge Portals,Electronics,98,364706.82,6,6.12
129,Transition Web-Enabled Relationships,Electronics,97,358351.12,5,5.15
186,Envisioneer Enterprise Markets,Electronics,97,355013.26,9,9.28
3,Repurpose Innovative E-Services,Electronics,88,333027.46,8,9.09
137,Grow Collaborative Mindshare,Electronics,103,312457.49,6,5.83
64,Engineer Enterprise E-Commerce,Electronics,86,309205.46,6,6.98
158,Drive Dot-Com Web Services,Electronics,90,297454.42,7,7.78
